benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J0,HybridLLMAgent,12,turn_P0,10,2,2,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J1,HybridLLMAgent,18,turn_P1,2,10,2,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J2,HybridLLMAgent,5,turn_P2,2,2,10,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J3,HybridLLMAgent,16,turn_P3,2,2,2,10,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,11,1,J1,HybridLLMAgent,13,turn_P1,2,11,2,3,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,10,1,J0,HybridLLMAgent,22,turn_P0,10,4,2,4,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,10,1,J2,HybridLLMAgent,21,turn_P2,2,2,10,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,10,1,J3,HybridLLMAgent,9,turn_P3,4,2,2,10,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,11,1,J0,HybridLLMAgent,15,turn_P0,11,2,4,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J1,HybridLLMAgent,12,turn_P1,2,10,3,3,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,0,2254321,2,J2,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J2,HybridLLMAgent,13,turn_P2,2,2,10,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,3,0,3054321,0,J0,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J0,HybridLLMAgent,14,turn_P0,10,2,3,3,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,0,2354321,3,J3,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J3,HybridLLMAgent,19,turn_P3,2,2,2,10,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,3,0,3154321,1,J1,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J1,HybridLLMAgent,14,turn_P1,2,10,2,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,3,0,3254321,2,J2,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J2,HybridLLMAgent,19,turn_P2,2,2,10,6,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,3,0,3354321,3,J3,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J3,HybridLLMAgent,6,turn_P3,2,2,2,10,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,4,0,4054321,0,J0,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J0,HybridLLMAgent,8,turn_P0,10,3,2,4,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,4,0,4154321,1,J1,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,12,1,J1,HybridLLMAgent,12,turn_P1,2,12,2,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,4,0,4254321,2,J2,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J2,HybridLLMAgent,11,turn_P2,2,2,10,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,4,0,4354321,3,J3,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J3,HybridLLMAgent,10,turn_P3,6,2,2,10,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,5,0,5054321,0,J0,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,11,1,J0,HybridLLMAgent,14,turn_P0,11,3,2,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,5,0,5154321,1,J1,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,10,1,J1,HybridLLMAgent,17,turn_P1,2,10,2,6,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,5,0,5254321,2,J2,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,10,1,J2,HybridLLMAgent,13,turn_P2,4,2,10,2,
standard,poligpt_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,5,0,5354321,3,J3,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,10,1,J3,HybridLLMAgent,21,turn_P3,3,2,2,10,
