benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J0,HybridLLMAgent,11,turn_P0,10,2,3,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J1,HybridLLMAgent,16,turn_P1,6,10,6,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J3,HybridLLMAgent,20,turn_P3,2,2,2,10,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J2,HybridLLMAgent,19,turn_P2,2,2,10,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,11,1,J1,HybridLLMAgent,13,turn_P1,3,11,2,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,11,1,J0,HybridLLMAgent,14,turn_P0,11,2,2,5,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,12,1,J2,HybridLLMAgent,21,turn_P2,4,2,12,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,12,1,J3,HybridLLMAgent,13,turn_P3,3,2,2,12,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J0,HybridLLMAgent,10,turn_P0,10,2,3,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J1,HybridLLMAgent,19,turn_P1,2,10,2,3,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,2,0,2354321,3,J3,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J3,HybridLLMAgent,12,turn_P3,2,2,2,10,
